"","Stimulus","Beat","hihat","snare","bass"
"1",1,1,0,0,1
"2",1,2,0,0,0
"3",1,3,0,0,0
"4",1,4,0,0,0
"5",1,5,0,0,0
"6",1,6,0,0,0
"7",1,7,0,0,0
"8",1,8,0,0,0
"9",1,9,0,0,1
"10",1,10,0,0,0
"11",1,11,0,0,0
"12",1,12,0,0,0
"13",1,13,0,0,0
"14",1,14,0,0,0
"15",1,15,0,0,0
"16",1,16,0,0,0
"17",4,1,0,0,0
"18",4,2,0,0,0
"19",4,3,0,0,0
"20",4,4,0,0,0
"21",4,5,0,1,0
"22",4,6,0,0,0
"23",4,7,0,0,0
"24",4,8,0,0,0
"25",4,9,0,0,0
"26",4,10,0,0,0
"27",4,11,0,0,0
"28",4,12,0,0,0
"29",4,13,0,1,0
"30",4,14,0,0,0
"31",4,15,0,0,0
"32",4,16,0,0,0
"33",7,1,1,0,0
"34",7,2,0,0,0
"35",7,3,1,0,0
"36",7,4,0,0,0
"37",7,5,1,0,0
"38",7,6,0,0,0
"39",7,7,1,0,0
"40",7,8,0,0,0
"41",7,9,1,0,0
"42",7,10,0,0,0
"43",7,11,1,0,0
"44",7,12,0,0,0
"45",7,13,1,0,0
"46",7,14,0,0,0
"47",7,15,1,0,0
"48",7,16,0,0,0
"49",9,1,0,0,1
"50",9,2,0,0,0
"51",9,3,0,0,0
"52",9,4,0,0,0
"53",9,5,0,1,1
"54",9,6,0,0,0
"55",9,7,0,0,0
"56",9,8,0,0,0
"57",9,9,0,0,1
"58",9,10,0,0,0
"59",9,11,0,0,0
"60",9,12,0,0,0
"61",9,13,0,1,1
"62",9,14,0,0,0
"63",9,15,0,0,0
"64",9,16,0,0,0
