"","Instrument","Beats","Stimulus"
"1","BassDrum",1,1
"2","BassDrum",0,1
"3","BassDrum",0,1
"4","BassDrum",0,1
"5","BassDrum",0,1
"6","BassDrum",0,1
"7","BassDrum",0,1
"8","BassDrum",0,1
"9","BassDrum",1,1
"10","BassDrum",0,1
"11","BassDrum",0,1
"12","BassDrum",0,1
"13","BassDrum",0,1
"14","BassDrum",0,1
"15","BassDrum",0,1
"16","BassDrum",0,1
"17","BassDrum",1,2
"18","BassDrum",0,2
"19","BassDrum",0,2
"20","BassDrum",0,2
"21","BassDrum",1,2
"22","BassDrum",0,2
"23","BassDrum",0,2
"24","BassDrum",0,2
"25","BassDrum",1,2
"26","BassDrum",0,2
"27","BassDrum",0,2
"28","BassDrum",0,2
"29","BassDrum",1,2
"30","BassDrum",0,2
"31","BassDrum",0,2
"32","BassDrum",0,2
"33","BassDrum",1,3
"34","BassDrum",0,3
"35","BassDrum",0,3
"36","BassDrum",1,3
"37","BassDrum",0,3
"38","BassDrum",0,3
"39","BassDrum",1,3
"40","BassDrum",0,3
"41","BassDrum",1,3
"42","BassDrum",0,3
"43","BassDrum",0,3
"44","BassDrum",1,3
"45","BassDrum",0,3
"46","BassDrum",0,3
"47","BassDrum",1,3
"48","BassDrum",0,3
"49","SnareDrum",0,4
"50","SnareDrum",0,4
"51","SnareDrum",0,4
"52","SnareDrum",0,4
"53","SnareDrum",1,4
"54","SnareDrum",0,4
"55","SnareDrum",0,4
"56","SnareDrum",0,4
"57","SnareDrum",0,4
"58","SnareDrum",0,4
"59","SnareDrum",0,4
"60","SnareDrum",0,4
"61","SnareDrum",1,4
"62","SnareDrum",0,4
"63","SnareDrum",0,4
"64","SnareDrum",0,4
"65","SnareDrum",1,5
"66","SnareDrum",0,5
"67","SnareDrum",0,5
"68","SnareDrum",0,5
"69","SnareDrum",1,5
"70","SnareDrum",0,5
"71","SnareDrum",0,5
"72","SnareDrum",0,5
"73","SnareDrum",1,5
"74","SnareDrum",0,5
"75","SnareDrum",0,5
"76","SnareDrum",0,5
"77","SnareDrum",1,5
"78","SnareDrum",0,5
"79","SnareDrum",0,5
"80","SnareDrum",0,5
"81","HiHat",1,6
"82","HiHat",0,6
"83","HiHat",0,6
"84","HiHat",0,6
"85","HiHat",1,6
"86","HiHat",0,6
"87","HiHat",0,6
"88","HiHat",0,6
"89","HiHat",1,6
"90","HiHat",0,6
"91","HiHat",0,6
"92","HiHat",0,6
"93","HiHat",1,6
"94","HiHat",0,6
"95","HiHat",0,6
"96","HiHat",0,6
"97","HiHat",1,7
"98","HiHat",1,7
"99","HiHat",1,7
"100","HiHat",1,7
"101","HiHat",1,7
"102","HiHat",1,7
"103","HiHat",1,7
"104","HiHat",1,7
"105","HiHat",1,7
"106","HiHat",1,7
"107","HiHat",1,7
"108","HiHat",1,7
"109","HiHat",1,7
"110","HiHat",1,7
"111","HiHat",1,7
"112","HiHat",1,7
"113","HiHat",1,8
"114","HiHat",0,8
"115","HiHat",1,8
"116","HiHat",1,8
"117","HiHat",1,8
"118","HiHat",1,8
"119","HiHat",1,8
"120","HiHat",1,8
"121","HiHat",1,8
"122","HiHat",1,8
"123","HiHat",1,8
"124","HiHat",1,8
"125","HiHat",1,8
"126","HiHat",1,8
"127","HiHat",1,8
"128","HiHat",1,8
"129","Bass",1,9
"130","Bass",0,9
"131","Bass",0,9
"132","Bass",0,9
"133","Bass",1,9
"134","Bass",0,9
"135","Bass",0,9
"136","Bass",0,9
"137","Bass",1,9
"138","Bass",0,9
"139","Bass",0,9
"140","Bass",0,9
"141","Bass",1,9
"142","Bass",0,9
"143","Bass",0,9
"144","Bass",0,9
"145","SnareDrum",0,9
"146","SnareDrum",0,9
"147","SnareDrum",0,9
"148","SnareDrum",0,9
"149","SnareDrum",1,9
"150","SnareDrum",0,9
"151","SnareDrum",0,9
"152","SnareDrum",0,9
"153","SnareDrum",0,9
"154","SnareDrum",0,9
"155","SnareDrum",0,9
"156","SnareDrum",0,9
"157","SnareDrum",1,9
"158","SnareDrum",0,9
"159","SnareDrum",0,9
"160","SnareDrum",0,9
"161","Bass",1,10
"162","Bass",0,10
"163","Bass",0,10
"164","Bass",0,10
"165","Bass",0,10
"166","Bass",0,10
"167","Bass",0,10
"168","Bass",0,10
"169","Bass",0,10
"170","Bass",0,10
"171","Bass",1,10
"172","Bass",0,10
"173","Bass",0,10
"174","Bass",0,10
"175","Bass",0,10
"176","Bass",1,10
"177","SnareDrum",0,10
"178","SnareDrum",0,10
"179","SnareDrum",0,10
"180","SnareDrum",1,10
"181","SnareDrum",0,10
"182","SnareDrum",0,10
"183","SnareDrum",1,10
"184","SnareDrum",0,10
"185","SnareDrum",0,10
"186","SnareDrum",0,10
"187","SnareDrum",0,10
"188","SnareDrum",0,10
"189","SnareDrum",1,10
"190","SnareDrum",0,10
"191","SnareDrum",0,10
"192","SnareDrum",0,10
